ticket_id,slug,step,role,depends_on,status,assignee,output,notes
V1-scotland-first-book-of-discipline,scotland-first-book-of-discipline,V1,Verifier,E,TODO,,verification.md,
B-scotland-first-book-of-discipline,scotland-first-book-of-discipline,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-scotland-first-book-of-discipline,scotland-first-book-of-discipline,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-scotland-first-book-of-discipline,scotland-first-book-of-discipline,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-scotland-first-book-of-discipline,scotland-first-book-of-discipline,V2,Verifier,D,TODO,,verification.md,
ED-scotland-first-book-of-discipline,scotland-first-book-of-discipline,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-scotland-first-book-of-discipline,scotland-first-book-of-discipline,H,Human,"ED,P",TODO,,status ACCEPTED,
S-leiden,leiden,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-leiden,leiden,F,Fetcher,S,TODO,,"raw/,text/",
E-leiden,leiden,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-leiden,leiden,V1,Verifier,E,TODO,,verification.md,
B-leiden,leiden,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-leiden,leiden,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-leiden,leiden,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-leiden,leiden,V2,Verifier,D,TODO,,verification.md,
ED-leiden,leiden,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-leiden,leiden,H,Human,"ED,P",TODO,,status ACCEPTED,
S-emmanuel-cambridge,emmanuel-cambridge,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-emmanuel-cambridge,emmanuel-cambridge,F,Fetcher,S,TODO,,"raw/,text/",
E-emmanuel-cambridge,emmanuel-cambridge,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-emmanuel-cambridge,emmanuel-cambridge,V1,Verifier,E,TODO,,verification.md,
B-emmanuel-cambridge,emmanuel-cambridge,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-emmanuel-cambridge,emmanuel-cambridge,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-emmanuel-cambridge,emmanuel-cambridge,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-emmanuel-cambridge,emmanuel-cambridge,V2,Verifier,D,TODO,,verification.md,
ED-emmanuel-cambridge,emmanuel-cambridge,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-emmanuel-cambridge,emmanuel-cambridge,H,Human,"ED,P",TODO,,status ACCEPTED,
S-saumur-sedan,saumur-sedan,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-saumur-sedan,saumur-sedan,F,Fetcher,S,TODO,,"raw/,text/",
E-saumur-sedan,saumur-sedan,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-saumur-sedan,saumur-sedan,V1,Verifier,E,TODO,,verification.md,
B-saumur-sedan,saumur-sedan,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-saumur-sedan,saumur-sedan,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-saumur-sedan,saumur-sedan,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-saumur-sedan,saumur-sedan,V2,Verifier,D,TODO,,verification.md,
ED-saumur-sedan,saumur-sedan,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-saumur-sedan,saumur-sedan,H,Human,"ED,P",TODO,,status ACCEPTED,
S-harvard-college,harvard-college,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-harvard-college,harvard-college,F,Fetcher,S,TODO,,"raw/,text/",
E-harvard-college,harvard-college,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-harvard-college,harvard-college,V1,Verifier,E,TODO,,verification.md,
B-harvard-college,harvard-college,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-harvard-college,harvard-college,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-harvard-college,harvard-college,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-harvard-college,harvard-college,V2,Verifier,D,TODO,,verification.md,
ED-harvard-college,harvard-college,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-harvard-college,harvard-college,H,Human,"ED,P",TODO,,status ACCEPTED,
S-yale-college,yale-college,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-yale-college,yale-college,F,Fetcher,S,TODO,,"raw/,text/",
E-yale-college,yale-college,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-yale-college,yale-college,V1,Verifier,E,TODO,,verification.md,
B-yale-college,yale-college,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-yale-college,yale-college,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-yale-college,yale-college,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-yale-college,yale-college,V2,Verifier,D,TODO,,verification.md,
ED-yale-college,yale-college,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-yale-college,yale-college,H,Human,"ED,P",TODO,,status ACCEPTED,
S-halle-francke,halle-francke,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-halle-francke,halle-francke,F,Fetcher,S,TODO,,"raw/,text/",
E-halle-francke,halle-francke,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-halle-francke,halle-francke,V1,Verifier,E,TODO,,verification.md,
B-halle-francke,halle-francke,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-halle-francke,halle-francke,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-halle-francke,halle-francke,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-halle-francke,halle-francke,V2,Verifier,D,TODO,,verification.md,
ED-halle-francke,halle-francke,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-halle-francke,halle-francke,H,Human,"ED,P",TODO,,status ACCEPTED,
S-herrnhut-moravians,herrnhut-moravians,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-herrnhut-moravians,herrnhut-moravians,F,Fetcher,S,TODO,,"raw/,text/",
E-herrnhut-moravians,herrnhut-moravians,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-herrnhut-moravians,herrnhut-moravians,V1,Verifier,E,TODO,,verification.md,
B-herrnhut-moravians,herrnhut-moravians,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-herrnhut-moravians,herrnhut-moravians,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-herrnhut-moravians,herrnhut-moravians,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-herrnhut-moravians,herrnhut-moravians,V2,Verifier,D,TODO,,verification.md,
ED-herrnhut-moravians,herrnhut-moravians,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-herrnhut-moravians,herrnhut-moravians,H,Human,"ED,P",TODO,,status ACCEPTED,
S-bristol-baptist-academy,bristol-baptist-academy,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-bristol-baptist-academy,bristol-baptist-academy,F,Fetcher,S,TODO,,"raw/,text/",
E-bristol-baptist-academy,bristol-baptist-academy,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-bristol-baptist-academy,bristol-baptist-academy,V1,Verifier,E,TODO,,verification.md,
B-bristol-baptist-academy,bristol-baptist-academy,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-bristol-baptist-academy,bristol-baptist-academy,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-bristol-baptist-academy,bristol-baptist-academy,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-bristol-baptist-academy,bristol-baptist-academy,V2,Verifier,D,TODO,,verification.md,
ED-bristol-baptist-academy,bristol-baptist-academy,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-bristol-baptist-academy,bristol-baptist-academy,H,Human,"ED,P",TODO,,status ACCEPTED,
S-northampton-academy,northampton-academy,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-northampton-academy,northampton-academy,F,Fetcher,S,TODO,,"raw/,text/",
E-northampton-academy,northampton-academy,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-northampton-academy,northampton-academy,V1,Verifier,E,TODO,,verification.md,
B-northampton-academy,northampton-academy,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-northampton-academy,northampton-academy,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-northampton-academy,northampton-academy,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-northampton-academy,northampton-academy,V2,Verifier,D,TODO,,verification.md,
ED-northampton-academy,northampton-academy,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-northampton-academy,northampton-academy,H,Human,"ED,P",TODO,,status ACCEPTED,
S-log-college,log-college,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-log-college,log-college,F,Fetcher,S,TODO,,"raw/,text/",
E-log-college,log-college,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-log-college,log-college,V1,Verifier,E,TODO,,verification.md,
B-log-college,log-college,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-log-college,log-college,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-log-college,log-college,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-log-college,log-college,V2,Verifier,D,TODO,,verification.md,
ED-log-college,log-college,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-log-college,log-college,H,Human,"ED,P",TODO,,status ACCEPTED,
S-college-of-new-jersey,college-of-new-jersey,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-college-of-new-jersey,college-of-new-jersey,F,Fetcher,S,TODO,,"raw/,text/",
E-college-of-new-jersey,college-of-new-jersey,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-college-of-new-jersey,college-of-new-jersey,V1,Verifier,E,TODO,,verification.md,
B-college-of-new-jersey,college-of-new-jersey,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-college-of-new-jersey,college-of-new-jersey,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-college-of-new-jersey,college-of-new-jersey,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-college-of-new-jersey,college-of-new-jersey,V2,Verifier,D,TODO,,verification.md,
ED-college-of-new-jersey,college-of-new-jersey,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-college-of-new-jersey,college-of-new-jersey,H,Human,"ED,P",TODO,,status ACCEPTED,
S-trevecca,trevecca,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-trevecca,trevecca,F,Fetcher,S,TODO,,"raw/,text/",
E-trevecca,trevecca,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-trevecca,trevecca,V1,Verifier,E,TODO,,verification.md,
B-trevecca,trevecca,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-trevecca,trevecca,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-trevecca,trevecca,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-trevecca,trevecca,V2,Verifier,D,TODO,,verification.md,
ED-trevecca,trevecca,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-trevecca,trevecca,H,Human,"ED,P",TODO,,status ACCEPTED,
S-baptist-missionary-society,baptist-missionary-society,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-baptist-missionary-society,baptist-missionary-society,F,Fetcher,S,TODO,,"raw/,text/",
E-baptist-missionary-society,baptist-missionary-society,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-baptist-missionary-society,baptist-missionary-society,V1,Verifier,E,TODO,,verification.md,
B-baptist-missionary-society,baptist-missionary-society,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-baptist-missionary-society,baptist-missionary-society,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-baptist-missionary-society,baptist-missionary-society,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-baptist-missionary-society,baptist-missionary-society,V2,Verifier,D,TODO,,verification.md,
ED-baptist-missionary-society,baptist-missionary-society,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-baptist-missionary-society,baptist-missionary-society,H,Human,"ED,P",TODO,,status ACCEPTED,
S-london-missionary-society,london-missionary-society,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-london-missionary-society,london-missionary-society,F,Fetcher,S,TODO,,"raw/,text/",
E-london-missionary-society,london-missionary-society,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-london-missionary-society,london-missionary-society,V1,Verifier,E,TODO,,verification.md,
B-london-missionary-society,london-missionary-society,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-london-missionary-society,london-missionary-society,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-london-missionary-society,london-missionary-society,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-london-missionary-society,london-missionary-society,V2,Verifier,D,TODO,,verification.md,
ED-london-missionary-society,london-missionary-society,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-london-missionary-society,london-missionary-society,H,Human,"ED,P",TODO,,status ACCEPTED,
S-church-missionary-society,church-missionary-society,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-church-missionary-society,church-missionary-society,F,Fetcher,S,TODO,,"raw/,text/",
E-church-missionary-society,church-missionary-society,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-church-missionary-society,church-missionary-society,V1,Verifier,E,TODO,,verification.md,
B-church-missionary-society,church-missionary-society,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-church-missionary-society,church-missionary-society,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-church-missionary-society,church-missionary-society,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-church-missionary-society,church-missionary-society,V2,Verifier,D,TODO,,verification.md,
ED-church-missionary-society,church-missionary-society,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-church-missionary-society,church-missionary-society,H,Human,"ED,P",TODO,,status ACCEPTED,
S-andover-seminary,andover-seminary,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-andover-seminary,andover-seminary,F,Fetcher,S,TODO,,"raw/,text/",
E-andover-seminary,andover-seminary,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-andover-seminary,andover-seminary,V1,Verifier,E,TODO,,verification.md,
B-andover-seminary,andover-seminary,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-andover-seminary,andover-seminary,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-andover-seminary,andover-seminary,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-andover-seminary,andover-seminary,V2,Verifier,D,TODO,,verification.md,
ED-andover-seminary,andover-seminary,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-andover-seminary,andover-seminary,H,Human,"ED,P",TODO,,status ACCEPTED,
S-abcfm,abcfm,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-abcfm,abcfm,F,Fetcher,S,TODO,,"raw/,text/",
E-abcfm,abcfm,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-abcfm,abcfm,V1,Verifier,E,TODO,,verification.md,
B-abcfm,abcfm,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-abcfm,abcfm,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-abcfm,abcfm,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-abcfm,abcfm,V2,Verifier,D,TODO,,verification.md,
ED-abcfm,abcfm,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-abcfm,abcfm,H,Human,"ED,P",TODO,,status ACCEPTED,
S-judson-triennial-convention,judson-triennial-convention,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-judson-triennial-convention,judson-triennial-convention,F,Fetcher,S,TODO,,"raw/,text/",
E-judson-triennial-convention,judson-triennial-convention,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-judson-triennial-convention,judson-triennial-convention,V1,Verifier,E,TODO,,verification.md,
B-judson-triennial-convention,judson-triennial-convention,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-judson-triennial-convention,judson-triennial-convention,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-judson-triennial-convention,judson-triennial-convention,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-judson-triennial-convention,judson-triennial-convention,V2,Verifier,D,TODO,,verification.md,
ED-judson-triennial-convention,judson-triennial-convention,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-judson-triennial-convention,judson-triennial-convention,H,Human,"ED,P",TODO,,status ACCEPTED,
S-princeton-seminary,princeton-seminary,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-princeton-seminary,princeton-seminary,F,Fetcher,S,TODO,,"raw/,text/",
E-princeton-seminary,princeton-seminary,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-princeton-seminary,princeton-seminary,V1,Verifier,E,TODO,,verification.md,
B-princeton-seminary,princeton-seminary,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-princeton-seminary,princeton-seminary,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-princeton-seminary,princeton-seminary,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-princeton-seminary,princeton-seminary,V2,Verifier,D,TODO,,verification.md,
ED-princeton-seminary,princeton-seminary,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-princeton-seminary,princeton-seminary,H,Human,"ED,P",TODO,,status ACCEPTED,
S-basel-mission,basel-mission,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-basel-mission,basel-mission,F,Fetcher,S,TODO,,"raw/,text/",
E-basel-mission,basel-mission,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-basel-mission,basel-mission,V1,Verifier,E,TODO,,verification.md,
B-basel-mission,basel-mission,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-basel-mission,basel-mission,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-basel-mission,basel-mission,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-basel-mission,basel-mission,V2,Verifier,D,TODO,,verification.md,
ED-basel-mission,basel-mission,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-basel-mission,basel-mission,H,Human,"ED,P",TODO,,status ACCEPTED,
S-serampore-college,serampore-college,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-serampore-college,serampore-college,F,Fetcher,S,TODO,,"raw/,text/",
E-serampore-college,serampore-college,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-serampore-college,serampore-college,V1,Verifier,E,TODO,,verification.md,
B-serampore-college,serampore-college,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-serampore-college,serampore-college,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-serampore-college,serampore-college,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-serampore-college,serampore-college,V2,Verifier,D,TODO,,verification.md,
ED-serampore-college,serampore-college,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-serampore-college,serampore-college,H,Human,"ED,P",TODO,,status ACCEPTED,
S-new-college-edinburgh,new-college-edinburgh,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-new-college-edinburgh,new-college-edinburgh,F,Fetcher,S,TODO,,"raw/,text/",
E-new-college-edinburgh,new-college-edinburgh,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-new-college-edinburgh,new-college-edinburgh,V1,Verifier,E,TODO,,verification.md,
B-new-college-edinburgh,new-college-edinburgh,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-new-college-edinburgh,new-college-edinburgh,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-new-college-edinburgh,new-college-edinburgh,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-new-college-edinburgh,new-college-edinburgh,V2,Verifier,D,TODO,,verification.md,
ED-new-college-edinburgh,new-college-edinburgh,ED,Editor,"V2=VERIFIED,X-001",TODO,,edited chapter+editlog,
H-new-college-edinburgh,new-college-edinburgh,H,Human,"ED,P",TODO,,status ACCEPTED,
S-pastors-college,pastors-college,S,Scout,C-001,TODO,,"sources.csv,scout_notes.md",
F-pastors-college,pastors-college,F,Fetcher,S,TODO,,"raw/,text/",
E-pastors-college,pastors-college,E,Extractor,F,TODO,,"dossier.md,quotes.jsonl,discrepancies.md",
V1-pastors-college,pastors-college,V1,Verifier,E,TODO,,verification.md,
B-pastors-college,pastors-college,B,Abridger,V1=VERIFIED,TODO,,charter_abridged.md,
P-pastors-college,pastors-college,P,Coordinator/Human,V1=VERIFIED,TODO,,rights/permissions_log.csv row,
D-pastors-college,pastors-college,D,Writer,"B,V1=VERIFIED",TODO,,chapters/<part>-<nn>-<slug>.md,
V2-pastors-college,pastors-college,V2,Verifier,D,TODO,,verification.md,
